x,y,value
0,0,0
0,1,59
0,2,0
0,3,78
0,4,52
0,5,40
0,6,3
0,7,91
0,8,0
0,9,0
0,10,68
0,11,68
0,12,16
0,13,43
0,14,15
0,15,26
0,16,92
0,17,79
0,18,23
0,19,73
0,20,0
0,21,13
0,22,79
0,23,97
0,24,0
0,25,0
0,26,96
0,27,0
0,28,0
0,29,86
0,30,3
0,31,39
0,32,49
0,33,60
0,34,0
0,35,42
0,36,0
0,37,74
0,38,0
0,39,13
0,40,51
0,41,61
0,42,13
0,43,7
0,44,71
0,45,35
0,46,10
0,47,0
0,48,11
0,49,0
0,50,61
0,51,0
0,52,36
0,53,2
0,54,71
0,55,56
0,56,56
0,57,0
0,58,47
0,59,0
0,60,52
0,61,10
0,62,90
0,63,78
0,64,21
0,65,8
0,66,0
0,67,53
0,68,93
0,69,0
0,70,0
0,71,71
0,72,0
0,73,56
0,74,44
0,75,7
0,76,85
0,77,77
0,78,0
0,79,0
0,80,0
0,81,0
0,82,0
0,83,42
0,84,0
0,85,24
0,86,30
0,87,51
0,88,65
0,89,5
0,90,51
0,91,63
0,92,3
0,93,0
0,94,0
0,95,75
0,96,52
0,97,77
0,98,92
0,99,61
0,100,93
0,101,0
0,102,93
0,103,19
0,104,94
0,105,0
0,106,45
0,107,36
0,108,0
0,109,0
0,110,4
0,111,60
0,112,5
0,113,0
0,114,23
0,115,62
0,116,99
0,117,56
0,118,44
0,119,42
0,120,91
0,121,38
0,122,91
0,123,0
0,124,70
0,125,0
0,126,48
0,127,42
0,128,0
0,129,2
0,130,71
0,131,6
0,132,36
0,133,21
0,134,58
0,135,27
0,136,0
0,137,0
0,138,23
0,139,90
0,140,71
0,141,49
0,142,0
0,143,44
0,144,39
0,145,84
0,146,22
0,147,63
0,148,34
0,149,30
0,150,48
0,151,16
0,152,69
0,153,0
0,154,0
0,155,93
0,156,37
0,157,22
0,158,55
0,159,28
0,160,17
0,161,99
0,162,0
0,163,86
0,164,92
0,165,72
0,166,25
0,167,96
0,168,66
0,169,0
0,170,21
0,171,0
0,172,71
0,173,0
0,174,4
0,175,36
0,176,61
0,177,52
0,178,0
0,179,82
0,180,0
0,181,0
0,182,29
0,183,82
0,184,92
0,185,66
0,186,40
0,187,39
0,188,52
0,189,0
0,190,66
0,191,78
0,192,19
0,193,36
0,194,0
0,195,82
0,196,36
0,197,62
0,198,35
0,199,0
0,200,95
0,201,0
0,202,0
0,203,94
0,204,0
0,205,58
0,206,36
0,207,0
0,208,4
0,209,71
0,210,0
0,211,61
0,212,47
0,213,7
0,214,0
0,215,0
0,216,53
0,217,17
0,218,32
0,219,0
0,220,47
0,221,49
0,222,14
0,223,0
0,224,0
0,225,11
0,226,0
0,227,0
0,228,0
0,229,92
0,230,0
0,231,97
0,232,41
0,233,33
0,234,52
0,235,71
0,236,0
0,237,95
0,238,5
0,239,3
0,240,1
0,241,0
0,242,8
0,243,65
0,244,35
0,245,91
0,246,36
0,247,0
0,248,73
0,249,51
0,250,88
0,251,87
0,252,58
0,253,48
0,254,47
0,255,0
0,256,0
0,257,23
0,258,0
0,259,58
0,260,66
0,261,77
0,262,64
0,263,68
0,264,0
0,265,55
0,266,0
0,267,24
0,268,86
0,269,30
0,270,10
0,271,66
0,272,98
0,273,0
0,274,35
0,275,6
0,276,5
0,277,83
0,278,0
0,279,20
0,280,0
0,281,55
0,282,92
0,283,0
0,284,56
0,285,73
0,286,81
0,287,25
0,288,0
0,289,62
0,290,0
0,291,13
0,292,67
0,293,45
0,294,86
0,295,58
0,296,47
0,297,54
0,298,0
0,299,42
0,300,12
1,0,71
1,1,97
1,2,91
1,3,42
1,4,53
1,5,3
1,6,68
1,7,1
1,8,0
1,9,97
1,10,13
1,11,0
1,12,94
1,13,82
1,14,0
1,15,43
1,16,18
1,17,3
1,18,11
1,19,70
1,20,92
1,21,0
1,22,0
1,23,0
1,24,0
1,25,7
1,26,42
1,27,23
1,28,0
1,29,0
1,30,0
1,31,54
1,32,68
1,33,58
1,34,72
1,35,0
1,36,41
1,37,29
1,38,75
1,39,39
1,40,61
1,41,80
1,42,4
1,43,22
1,44,44
1,45,44
1,46,93
1,47,68
1,48,0
1,49,48
1,50,35
1,51,31
1,52,35
1,53,9
1,54,35
1,55,52
1,56,76
1,57,23
1,58,0
1,59,7
1,60,76
1,61,0
1,62,35
1,63,80
1,64,0
1,65,54
1,66,0
1,67,80
1,68,78
1,69,0
1,70,26
1,71,70
1,72,31
1,73,0
1,74,90
1,75,79
1,76,26
1,77,0
1,78,0
1,79,50
1,80,15
1,81,0
1,82,89
1,83,68
1,84,9
1,85,79
1,86,57
1,87,70
1,88,87
1,89,0
1,90,0
1,91,34
1,92,70
1,93,45
1,94,80
1,95,35
1,96,48
1,97,21
1,98,43
1,99,39
1,100,44
1,101,7
1,102,38
1,103,0
1,104,25
1,105,60
1,106,80
1,107,20
1,108,0
1,109,44
1,110,2
1,111,0
1,112,26
1,113,79
1,114,27
1,115,33
1,116,33
1,117,0
1,118,0
1,119,77
1,120,20
1,121,0
1,122,42
1,123,0
1,124,61
1,125,21
1,126,21
1,127,0
1,128,0
1,129,28
1,130,92
1,131,0
1,132,53
1,133,23
1,134,96
1,135,32
1,136,57
1,137,0
1,138,52
1,139,26
1,140,70
1,141,42
1,142,60
1,143,50
1,144,0
1,145,17
1,146,0
1,147,32
1,148,58
1,149,21
1,150,80
1,151,0
1,152,0
1,153,69
1,154,87
1,155,5
1,156,47
1,157,85
1,158,27
1,159,1
1,160,61
1,161,36
1,162,7
1,163,0
1,164,21
1,165,0
1,166,0
1,167,0
1,168,0
1,169,0
1,170,33
1,171,89
1,172,77
1,173,62
1,174,21
1,175,28
1,176,0
1,177,10
1,178,30
1,179,0
1,180,59
1,181,93
1,182,19
1,183,9
1,184,0
1,185,94
1,186,49
1,187,6
1,188,0
1,189,91
1,190,32
1,191,56
1,192,81
1,193,38
1,194,34
1,195,85
1,196,66
1,197,0
1,198,53
1,199,44
1,200,93
1,201,0
1,202,59
1,203,0
1,204,12
1,205,86
1,206,58
1,207,0
1,208,0
1,209,91
1,210,0
1,211,65
1,212,0
1,213,91
1,214,3
1,215,0
1,216,80
1,217,72
1,218,56
1,219,61
1,220,0
1,221,64
1,222,89
1,223,42
1,224,47
1,225,34
1,226,0
1,227,97
1,228,0
1,229,31
1,230,28
1,231,52
1,232,79
1,233,68
1,234,0
1,235,93
1,236,67
1,237,80
1,238,0
1,239,13
1,240,31
1,241,76
1,242,67
1,243,0
1,244,23
1,245,55
1,246,92
1,247,13
1,248,81
1,249,86
1,250,87
1,251,59
1,252,0
1,253,67
1,254,0
1,255,60
1,256,0
1,257,23
1,258,35
1,259,17
1,260,72
1,261,0
1,262,69
1,263,81
1,264,0
1,265,14
1,266,95
1,267,59
1,268,64
1,269,71
1,270,84
1,271,97
1,272,94
1,273,71
1,274,0
1,275,89
1,276,91
1,277,32
1,278,72
1,279,24
1,280,50
1,281,7
1,282,24
1,283,54
1,284,57
1,285,37
1,286,0
1,287,68
1,288,59
1,289,23
1,290,0
1,291,77
1,292,19
1,293,0
1,294,66
1,295,37
1,296,74
1,297,70
1,298,88
1,299,99
