1,1,50
1,2,68
1,3,2
1,4,0
1,5,0
1,6,13
1,7,90
1,8,0
1,9,9
1,10,95
1,11,63
1,12,0
1,13,61
1,14,12
1,15,77
1,16,57
1,17,78
1,18,40
1,19,10
1,20,0
1,21,92
1,22,61
1,23,0
1,24,14
1,25,24
1,26,13
1,27,22
1,28,0
1,29,4
1,30,42
1,31,49
1,32,11
1,33,17
1,34,24
1,35,9
1,36,93
1,37,86
1,38,90
1,39,71
1,40,0
1,41,15
1,42,5
1,43,0
1,44,79
1,45,46
1,46,0
1,47,29
1,48,0
1,49,0
1,50,0
1,51,40
1,52,3
1,53,0
1,54,17
1,55,42
1,56,83
1,57,84
1,58,95
1,59,1
1,60,1
1,61,2
1,62,68
1,63,48
1,64,93
1,65,0
1,66,38
1,67,0
1,68,31
1,69,0
1,70,92
1,71,68
1,72,83
1,73,55
1,74,0
1,75,1
1,76,0
1,77,32
1,78,91
1,79,29
1,80,1
1,81,8
1,82,0
1,83,19
1,84,65
1,85,0
1,86,79
1,87,50
1,88,58
1,89,61
1,90,82
1,91,65
1,92,61
1,93,58
1,94,36
1,95,68
1,96,52
1,97,88
1,98,88
1,99,73
1,100,25
1,101,2
1,102,81
1,103,27
1,104,12
1,105,10
1,106,86
1,107,44
1,108,78
1,109,29
1,110,72
1,111,73
1,112,6
1,113,4
1,114,0
1,115,89
1,116,0
1,117,8
1,118,9
1,119,68
1,120,89
1,121,0
1,122,21
1,123,0
1,124,30
1,125,82
1,126,82
1,127,91
1,128,84
1,129,27
1,130,87
1,131,0
1,132,61
1,133,4
1,134,84
1,135,0
1,136,54
1,137,39
1,138,91
1,139,34
1,140,0
1,141,87
1,142,34
1,143,86
1,144,90
1,145,58
1,146,98
1,147,23
1,148,32
1,149,27
1,150,39
1,151,8
1,152,79
1,153,0
1,154,0
1,155,93
1,156,47
1,157,19
1,158,68
1,159,61
1,160,49
1,161,64
1,162,61
1,163,0
1,164,88
1,165,0
1,166,0
1,167,34
1,168,52
1,169,0
1,170,98
1,171,42
1,172,8
1,173,22
1,174,40
1,175,69
1,176,0
1,177,39
1,178,0
1,179,55
1,180,31
1,181,34
1,182,0
1,183,57
1,184,10
1,185,47
1,186,32
1,187,0
1,188,82
1,189,60
1,190,73
1,191,74
